Region,Decade,Age_Bin,dbh_best_dist,dbh_w_aic,dbh_g_aic,dbh_ln_aic,ht_best_dist,ht_w_aic,ht_g_aic,ht_ln_aic
Auckland,1930s,13,Weibull,-44.07832092211856,-42.130343197448724,-41.40250241738626,Weibull,-57.83643680361994,-57.353802623032166,-57.15748718651707
Auckland,1930s,19,Gamma,-8.121295688598485,-8.188288029061114,-8.158232009591764,Weibull,-10.75449865618397,-10.33994427295978,-10.24556046434537
Auckland,1940s,19,Weibull,-29.694857411625364,-28.107885937107966,-27.210443045724002,Weibull,-36.48776839035613,-29.826352463565286,-28.6465395478955
Auckland,1950s,7,Weibull,-30.335855602926564,-30.068191404169724,-29.961214921792575,Weibull,-26.90409553576013,-25.05801460752689,-24.903469186953675
Auckland,1950s,9,Insufficient Data,NA,NA,NA,Insufficient Data,NA,NA,NA
Auckland,1950s,10,Weibull,-146.11615379964238,-135.924580367304,-131.6730331749023,Gamma,-187.80186293443057,-189.30848925023173,-188.3477662508373
Auckland,1950s,13,Weibull,-162.7153280280244,-155.6755307155306,-150.62372476554927,Weibull,-225.18728069367634,-213.0629208004616,-210.14255993677554
Auckland,1950s,15,Gamma,-299.74536383364455,-306.69477137438474,-304.5132786530828,Gamma,-368.416458703259,-368.6919860399623,-365.7975052967147
Auckland,1950s,16,Gamma,-309.7587287161694,-314.3232842730155,-311.50074615065336,Gamma,-337.37389021124073,-338.9985603398652,-337.18617625512167
Auckland,1950s,18,Weibull,-197.7065102769194,-192.3341299839277,-188.46294912486766,Weibull,-229.06367331655528,-228.5629015420665,-227.0410356508766
Auckland,1950s,19,Gamma,-297.40664111991146,-311.64611393485075,-310.30168218779477,Gamma,-221.0675304841535,-232.7028330863774,-231.88507966991313
Auckland,1950s,20,Gamma,-142.44841518139705,-142.54719048237385,-139.93770779501503,Weibull,-203.87116447178025,-202.29094821211044,-201.1978839484378
Auckland,1950s,21,Weibull,-184.46994560593947,-177.20276125074847,-172.62099765616418,Gamma,-211.23162066539794,-212.53125714021894,-211.91959782411402
Auckland,1950s,22,Weibull,-83.68235329583125,-82.63474682954278,-80.38025404683948,Weibull,-58.29036464236507,-56.692232929494104,-55.622559777700054
Auckland,1950s,23,Weibull,-118.30986651999413,-116.84243540329797,-114.80918798824943,Weibull,-147.9774385947214,-136.1243273567207,-133.7736308395148
Auckland,1950s,25,Weibull,-30.812783604030344,-29.994541116953712,-29.03582352603302,Weibull,-31.929681747640046,-28.541462202011495,-27.263904786896777
Auckland,1950s,26,Weibull,-140.2584488660702,-136.0518084991316,-132.8766066117452,Weibull,-188.24883513358893,-179.94911882007978,-177.71239745565973
Auckland,1950s,34,Gamma,-10.22700971883703,-10.243465099208432,-10.221781107817641,Weibull,-24.316135902926316,-24.072869527756055,-23.94937444618562
Auckland,1950s,37,Weibull,-16.2564804082589,-15.385864822350808,-14.685635414301863,Weibull,-52.68847557161915,-49.797490284533204,-49.33478812799369
Auckland,1960s,6,Weibull,-161.8342388366842,-150.74673780156343,-137.9563830434645,Weibull,-203.62422984939857,-196.36178882555194,-189.29371303540424
