Term,Sum Sq,Df,F value,Pr(>F),Analysis,Mean_DBH_Uniformity_(Shape),Mean_Relative_Size_(Scale),Total_Observations
(Intercept),95.56227545550382,1,42.62098931444104,9.380376192017489e-11,DBH Shape (Uniformity) ANOVA,NA,NA,NA
Region,239.84646181397102,10,10.697206023353429,1.2174281195770196e-17,DBH Shape (Uniformity) ANOVA,NA,NA,NA
Age_Bin,642.97438535429,1,286.768018834007,1.767674116703622e-58,DBH Shape (Uniformity) ANOVA,NA,NA,NA
Decade,241.81267984057467,9,11.983221987332756,2.4081959129619253e-18,DBH Shape (Uniformity) ANOVA,NA,NA,NA
Residuals,3026.8905987411867,1350,NA,NA,DBH Shape (Uniformity) ANOVA,NA,NA,NA
(Intercept),0.21268070779678538,1,11.987885098102957,5.522069032561739e-4,DBH Scale (Size Profile) ANOVA,NA,NA,NA
Region,4.788266951220049,10,26.989375117707457,2.600655964855047e-47,DBH Scale (Size Profile) ANOVA,NA,NA,NA
Age_Bin,7.176754758764655,1,404.52240504831855,6.641393277459621e-79,DBH Scale (Size Profile) ANOVA,NA,NA,NA
Decade,2.9662845168813234,9,18.5773930659955,1.9054150182522075e-29,DBH Scale (Size Profile) ANOVA,NA,NA,NA
Residuals,23.950759719168136,1350,NA,NA,DBH Scale (Size Profile) ANOVA,NA,NA,NA
1930,NA,NA,NA,NA,Decade Trend Summary,7.225661505735469,0.4271258816473787,3
1940,NA,NA,NA,NA,Decade Trend Summary,4.550143350782236,0.40870833124291867,2
1950,NA,NA,NA,NA,Decade Trend Summary,5.889837392020685,0.4369746166127761,67
1960,NA,NA,NA,NA,Decade Trend Summary,5.225597381037852,0.49302199120371804,133
1970,NA,NA,NA,NA,Decade Trend Summary,5.3811404511424925,0.5208939345812741,217
1980,NA,NA,NA,NA,Decade Trend Summary,4.916303056752521,0.5475535923151544,233
1990,NA,NA,NA,NA,Decade Trend Summary,5.070004617803517,0.5794095240959447,209
2000,NA,NA,NA,NA,Decade Trend Summary,5.4667078361073225,0.5981113221907814,193
2010,NA,NA,NA,NA,Decade Trend Summary,5.541973836502548,0.5900921511359378,181
2020,NA,NA,NA,NA,Decade Trend Summary,6.340144285646538,0.5635608943908607,142
